Id,Yard number,Yard name,Sale Date M/D/CY,Day of Week,Sale time (HHMM),Time Zone,Item#,Lot number,Vehicle Type,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Secondary Damage,Sale Title State,Sale Title Type,Has Keys-Yes or No,Lot Cond. Code,VIN,Odometer,Odometer Brand,Est. Retail Value,Repair cost,Engine,Drive,Transmission,Fuel Type,Cylinders,Runs/Drives,Sale Status,"High Bid =non-vix,Sealed=Vix",Special Note,Location city,Location state,Location ZIP,Location country,Currency Code,Image Thumbnail,Create Date/Time,Grid/Row,Make-an-Offer Eligible,Buy-It-Now Price,Image URL,Trim,Last Updated Time,Rentals,Copart Select
1,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,32162252,V,2012,VOLKSWAGEN,CC,CC SPORT,,CHARCOAL,NORMAL WEAR,,CA,AQ,NO,E,WVWMP7AN4CE503117,114074,A,0,0,2.0L  4,Front-wheel Drive,AUTOMATIC,GAS,4,DEFAULT,On Approval,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP242/4d69ccf40f604e8ba0ab23db5e499967_thb.jpg,2022-06-02-07.40.18.000331,SF008,N,0,http://inventoryv2.copart.io/v1/lotImages/32162252?country=us&brand=cprt&yardNumber=1,SPORT,2022-06-01T22:00:48Z,N,N
2,1,CA - VALLEJO,0,,,PDT,0,32614842,U,1981,INTERNATIONAL,ALL MODELS,CARGOSTAR,TILT CAB,WHITE,NORMAL WEAR,,CA,AN,YES,,2HTD10354BCA14524,181102,A,9000,0,8,Rear-wheel drive,MANUAL,DIESEL,8,,On Minimum Bid,15,VEH LOCATED @ FAIRFLD SUBLOT,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP248/349b8092e9d4400187a27cca90af6d65_thb.jpg,2022-06-02-07.40.18.000338,CC100,N,0,http://inventoryv2.copart.io/v1/lotImages/32614842?country=us&brand=cprt&yardNumber=1,CO1850,2022-05-28T07:01:00Z,N,N
3,1,CA - VALLEJO,0,,,PDT,0,34100882,V,1991,BUICK,CENTURY,CENTURY CU,,WHITE,FRONT END,MINOR DENT/SCRATCHES,CA,NR,EXM,E,3G4AH54N0MS611088,170568,A,2255,0,3.3L  6,Front-wheel Drive,AUTOMATIC,GAS,6,DEFAULT,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP257/8b84f3507bc341dcb0ce3fad70f28d23_thb.jpg,2022-06-02-07.40.18.000347, A040,N,0,http://inventoryv2.copart.io/v1/lotImages/34100882?country=us&brand=cprt&yardNumber=1,CUSTOM,2022-05-27T21:48:44Z,N,N
4,1,CA - VALLEJO,0,,,PDT,0,34462002,L,2012,KYST,TRAILER,TRAILER,,WHITE,VANDALISM,REAR END,CA,NR,NO,E,4YDF27328C1532294,0,N,26286,22205.01,,,,,,DEFAULT,Pure Sale,60,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP258/bbe91a77a97445778e14522b38f8cccc_thb.jpg,2022-06-02-07.40.18.000373,GG100,N,0,http://inventoryv2.copart.io/v1/lotImages/34462002?country=us&brand=cprt&yardNumber=1,,2022-03-25T19:27:37Z,N,N
5,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,34682352,L,1996,GREAT DANE TRAILER,TRAILER,TRAILER,,BROWN,ALL OVER,ROLLOVER,CA,SC,EXM,E,1GRAA9020TB017404,0,E,6282,0,,,,,,DEFAULT,On Minimum Bid,425,VEH LOCATED @ FAIRFLD SUBLOT,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP261/73562730d7694b2ea046e2ca5f77bcca_thb.jpg,2022-06-02-07.40.18.000373,EE070,N,0,http://inventoryv2.copart.io/v1/lotImages/34682352?country=us&brand=cprt&yardNumber=1,,2022-05-27T21:11:37Z,N,N
6,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,34888602,V,2014,MERCEDES-BENZ,C-CLASS,C 250,,GRAY,FRONT END,,CA,SC,YES,D,WDDGF4HB7EA965374,100360,A,13971,0,1.8L  4,Rear-wheel drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP257/1ae26e6ea96441ef867e509a4a91ac62_thb.jpg,2022-06-02-07.40.18.000374, D060,N,0,http://inventoryv2.copart.io/v1/lotImages/34888602?country=us&brand=cprt&yardNumber=1,250,2022-05-31T14:42:50Z,N,N
7,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,34945572,L,2000,GENE,GENERATOR,GENERATOR,,WHITE,NORMAL WEAR,,CA,BS,EXM,E,GENERATORN0V1N,0,E,0,0,,,,,,DEFAULT,On Minimum Bid,0,***TRAILER NOT INCLUDED***  ,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP256/d4e00663fa9c440b92466c989dd9fd33_thb.jpg,2022-06-02-07.40.18.000375,EE060,Y,2400,http://inventoryv2.copart.io/v1/lotImages/34945572?country=us&brand=cprt&yardNumber=1,,2022-06-01T02:12:26Z,N,N
8,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,35109712,V,2016,CHEVROLET,MALIBU,MALIBU LIM,,WHITE,SIDE,UNDERCARRIAGE,CA,SC,YES,D,1G11A5SA0GU159052,96092,A,14276,13076.61,2.5L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP258/2cdc05bcdb384e5da156d08f95e785e1_thb.jpg,2022-06-02-07.40.18.000375,SG006,N,0,http://inventoryv2.copart.io/v1/lotImages/35109712?country=us&brand=cprt&yardNumber=1,LS,2022-05-26T17:27:50Z,N,N
9,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,35144772,V,2021,JEEP,WRANGLER,WRANGLER U,,SILVER,FRONT END,SIDE,CO,CQ,YES,E,1C4HJXDN3MW580376,39379,A,0,0,2.0L  4,4x4 w/Rear Wheel Drv,AUTOMATIC,GAS,4,DEFAULT,On Approval,2700,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP259/7582daeb879346789ffc419d8e93e869_thb.jpg,2022-06-02-07.40.18.000375,SC006,N,0,http://inventoryv2.copart.io/v1/lotImages/35144772?country=us&brand=cprt&yardNumber=1,SPORT,2022-05-27T19:25:57Z,N,N
10,1,CA - VALLEJO,0,,,PDT,0,35554802,V,2002,PORSCHE,BOXSTER,BOXSTER,,WHITE,FRONT END,,CA,SC,YES,D,WP0CA298X2U624348,67533,A,12938,20018.58,2.7L  6,Rear-wheel drive,AUTOMATIC,GAS,6,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP262/c8ec92d6370346d1bffb807f5a1e2f96_thb.jpg,2022-06-02-07.40.18.000394, D110,N,0,http://inventoryv2.copart.io/v1/lotImages/35554802?country=us&brand=cprt&yardNumber=1,,2022-05-25T21:53:31Z,N,N
