Lot URL,Lot/Inv #,Estimated Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name
https://www.copart.com/lotDetail/70304363,70304363,0 USD,10/23/2023 09:00 pm EDT,2008,TOYT,RAV4 LIMIT,3.5L  6,6,JTMBK31V986******,DLR/DIS/EXP-CT OTHERS-ACQ (P),"200,656 N",NOT ACTUAL,MINOR DENT/SCRATCHES,525 USD,0 USD,0,OH - CLEVELAND EAST
https://www.copart.com/lotDetail/69654073,69654073,"12,458 USD",10/24/2023 10:00 am EDT,2012,TOYT,CAMRY BASE,2.5L  4,4,4T4BF1FK7CR******,CERTIFICATE OF TITLE,"133,119 A",ACTUAL,REAR END,0 USD,0 USD,0,MI - DETROIT
https://www.copart.com/lotDetail/71597773,71597773,0 USD,10/23/2023 09:00 pm EDT,2003,TOYT,4RUNNER SR,4.7L  8,8,JTEBT14R130******,CERTIFICATE OF TITLE (P),"339,511 E",EXEMPT,MINOR DENT/SCRATCHES,350 USD,0 USD,0,NY - SYRACUSE
https://www.copart.com/lotDetail/71606513,71606513,0 USD,10/23/2023 09:00 pm EDT,2003,TOYT,4RUNNER LI,4.7L  8,8,JTEBT17R830******,CERTIFICATE OF TITLE (P),"302,395 E",EXEMPT,FRONT END,675 USD,0 USD,0,NY - SYRACUSE
https://www.copart.com/lotDetail/69082573,69082573,"25,996 USD",10/24/2023 10:00 am EDT,2020,TOYT,RAV4 LE,2.5L  4,4,2T3H1RFV5LC******,BILL OF SALE-PARTS ONLY,0 N,NOT ACTUAL,BURN,0 USD,0 USD,0,OH - COLUMBUS
https://www.copart.com/lotDetail/71240473,71240473,0 USD,10/24/2023 10:00 am EDT,2010,TOYT,PRIUS,1.8L  4,4,JTDKN3DU0A0******,CERT OF TITLE-REPOSSESSION (P),"200,580 A",ACTUAL,NORMAL WEAR,125 USD,0 USD,0,OH - COLUMBUS
https://www.copart.com/lotDetail/49117823,49117823,"9,528 USD",10/23/2023 10:00 am EDT,2015,TOYT,COROLLA L,1.8L  4,4,2T1BURHE1FC******,BILL OF SALE - PARTS ONLY,"197,317 N",NOT ACTUAL,FRONT END,60 USD,0 USD,2597,IN - FORT WAYNE
https://www.copart.com/lotDetail/72098763,72098763,0 USD,10/23/2023 10:00 am EDT,2022,TOYT,SIENNA XSE,2.5L  4,4,5TDXRKECXNS******,SALVAGE CERTIFICATE OF TITLE (P),"1,157 A",ACTUAL,FRONT END,60 USD,0 USD,80,IN - FORT WAYNE
https://www.copart.com/lotDetail/61786173,61786173,"9,163 USD",Future,2008,TOYT,TACOMA ACC,4.0L  6,6,5TEUU42N38Z******,BILL OF SALE - PARTS ONLY,"287,080 E",EXEMPT,REAR END,0 USD,0 USD,0,IN - FORT WAYNE
https://www.copart.com/lotDetail/70558443,70558443,0 USD,10/23/2023 10:00 am EDT,2004,TOYT,4RUNNER SR,4.0L  6,6,JTEBU14R748******,CERT OF TITLE (P),"208,659 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,2241,PA - YORK HAVEN
https://www.copart.com/lotDetail/70561083,70561083,0 USD,10/23/2023 10:00 am EDT,2006,TOYT,RAV4 SPORT,2.4L  4,4,JTMBD32V266******,CERT OF TITLE (P),"194,207 A",ACTUAL,MINOR DENT/SCRATCHES,"1,100 USD",0 USD,6,PA - YORK HAVEN
https://www.copart.com/lotDetail/72284823,72284823,0 USD,10/23/2023 09:00 pm EDT,2010,TOYT,VENZA,2.7L  4,4,4T3ZA3BB4AU******,CERTIFICATE OF TITLE (P),"174,926 A",ACTUAL,MINOR DENT/SCRATCHES,"3,150 USD",0 USD,0,PA - YORK HAVEN
https://www.copart.com/lotDetail/72486743,72486743,0 USD,10/24/2023 10:00 am EDT,2015,TOYT,CAMRY HYBR,2.5L  4,4,4T1BD1FK8FU******,CERT OF TITLE-REBUILT SALVAGE (P),"183,507 A",ACTUAL,MINOR DENT/SCRATCHES,275 USD,0 USD,0,PA - PHILADELPHIA
https://www.copart.com/lotDetail/70956743,70956743,0 USD,10/24/2023 10:00 am EDT,2017,TOYT,PRIUS PRIM,1.8L  4,4,JTDKARFPXH3******,CERT OF SALVAGE < 75% DAMAGE (P),"56,241 A",ACTUAL,FRONT END,300 USD,0 USD,0,MD - BALTIMORE EAST
https://www.copart.com/lotDetail/60565923,60565923,"37,684 USD",10/24/2023 10:00 am EDT,2021,TOYT,VENZA LE,2.5L  4,4,JTEAAAAH5MJ******,CERT OF TITLE-SALVAGE,"36,019 A",ACTUAL,FRONT END,"7,600 USD",0 USD,0,NJ - SOMERVILLE
https://www.copart.com/lotDetail/70339063,70339063,"39,663 USD",10/24/2023 10:00 am EDT,2022,TOYT,TACOMA ACC,3.5L  6,6,3TYSZ5AN9NT******,CERT OF TITLE-SALVAGE,"5,479 A",ACTUAL,ALL OVER,"9,700 USD",0 USD,0,NJ - SOMERVILLE
https://www.copart.com/lotDetail/73151343,73151343,0 USD,10/24/2023 10:00 am EDT,2010,TOYT,RAV4,2.5L  4,4,JTMBF4DV6AD******,CERTIFICATE OF TITLE (P),"124,598 A",ACTUAL,NORMAL WEAR,475 USD,0 USD,0,NJ - SOMERVILLE
https://www.copart.com/lotDetail/69240353,69240353,"19,864 USD",10/24/2023 09:00 pm EDT,2007,TOYT,FJ CRUISER,4.0L  6,6,JTEBU11F970******,CERT OF TITLE-SALVAGE,"160,543 A",ACTUAL,REAR END,"7,100 USD",0 USD,0,NJ - SOMERVILLE
https://www.copart.com/lotDetail/70338383,70338383,"43,269 USD",10/24/2023 09:00 pm EDT,2021,TOYT,HIGHLANDER,3.5L  6,6,5TDGZRBHXMS******,CERT OF TITLE-SALVAGE,"34,388 A",ACTUAL,FRONT END,"17,200 USD",0 USD,0,NJ - SOMERVILLE
https://www.copart.com/lotDetail/53236803,53236803,"6,775 USD",10/24/2023 10:00 am EDT,2006,TOYT,PRIUS,1.5L  4,4,JTDKB20UX63******,BILL OF SALE - PARTS ONLY,0 E,EXEMPT,MECHANICAL,0 USD,0 USD,0,IN - CICERO
https://www.copart.com/lotDetail/69987603,69987603,0 USD,10/25/2023 01:00 pm EDT,2019,TOYT,COROLLA L,1.8L  4,4,2T1BURHE4KC******,AUCUNE MENTION (P),"101,345 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,QC - MONTREAL
https://www.copart.com/lotDetail/69067443,69067443,"6,650 USD",10/23/2023 10:00 am EDT,2005,TOYT,CAMRY LE,2.4L  4,4,4T1BE30K95U******,BILL OF SALE,"205,388 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,VT - RUTLAND
https://www.copart.com/lotDetail/69615983,69615983,0 USD,10/23/2023 10:00 am EDT,2008,TOYT,PRIUS,1.5L  4,4,JTDKB20U583******,BILL OF SALE,"228,647 A",ACTUAL,FRONT END,0 USD,0 USD,0,VT - RUTLAND
https://www.copart.com/lotDetail/65273913,65273913,"6,764 USD",10/23/2023 10:00 am EDT,2004,TOYT,HIGHLANDER,3.3L  6,6,JTEEP21A140******,BILL OF SALE,0 E,EXEMPT,SIDE,125 USD,0 USD,0,VT - RUTLAND
https://www.copart.com/lotDetail/66210573,66210573,"5,275 USD",10/23/2023 10:00 am EDT,2004,TOYT,SIENNA XLE,3.3L  6,6,5TDBA22C74S******,BILL OF SALE,"203,680 A",ACTUAL,NORMAL WEAR,125 USD,0 USD,0,VT - RUTLAND
https://www.copart.com/lotDetail/59513653,59513653,"35,184 USD",10/23/2023 09:00 pm EDT,2017,TOYT,TUNDRA CRE,5.7L  8,8,5TFDW5F14HX******,JUNKED VEHICLE BILL OF SALE,0 N,NOT ACTUAL,FRONT END,"8,000 USD",0 USD,3023,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/50003003,50003003,"14,180 USD",10/25/2023 01:00 pm EDT,2017,TOYT,CAMRY LE,2.5L  4,4,4T1BF1FK8HU******,JUNKED VEHICLE BILL OF SALE,"85,298 A",ACTUAL,ALL OVER,0 USD,0 USD,0,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/69418603,69418603,"15,482 USD",10/25/2023 01:00 pm EDT,2014,TOYT,CAMRY L,2.5L  4,4,4T1BF1FK9EU******,JUNKED VEHICLE BILL OF SALE,"32,322 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/67659003,67659003,"8,046 USD",10/25/2023 01:00 pm EDT,2016,TOYT,COROLLA L,1.8L  4,4,2T1BURHEXGC******,JUNKED VEHICLE BILL OF SALE,"247,019 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/71346213,71346213,"12,287 USD",10/25/2023 01:00 pm EDT,2009,TOYT,RAV4 LIMIT,3.5L  6,6,2T3BK31V29W******,JUNKED VEHICLE BILL OF SALE,"125,172 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/71894613,71894613,"9,441 USD",10/25/2023 01:00 pm EDT,2012,TOYT,SCION TC,2.5L  4,4,JTKJF5C77C3******,JUNKED VEHICLE BILL OF SALE,"81,496 A",ACTUAL,FRONT END,0 USD,0 USD,0,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/65815863,65815863,"52,471 USD",10/25/2023 01:00 pm EDT,2021,TOYT,SIENNA LIM,2.5L  4,4,5TDESKFC1MS******,JUNKED VEHICLE BILL OF SALE,"24,569 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/66814423,66814423,"17,348 USD",10/25/2023 01:00 pm EDT,2019,TOYT,COROLLA L,1.8L  4,4,2T1BURHEXKC******,JUNKED VEHICLE BILL OF SALE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/71473843,71473843,"4,964 USD",Future,2002,TOYT,CAMRY LE,2.4L  4,4,4T1BE32K92U******,JUNKED VEHICLE BILL OF SALE,"143,141 E",EXEMPT,FRONT END,0 USD,0 USD,0,WI - MILWAUKEE NORTH
https://www.copart.com/lotDetail/69002563,69002563,0 USD,10/23/2023 12:00 pm EDT,2018,TOYT,RAV4 ADVEN,2.5L  4,4,2T3WFREV4JW******,JUNKED VEHICLE BILL OF SALE,0 N,NOT ACTUAL,ALL OVER,300 USD,0 USD,0,WI - MILWAUKEE SOUTH
https://www.copart.com/lotDetail/51163712,51163712,"6,614 USD",10/23/2023 01:00 pm EDT,2006,TOYT,SIENNA CE,3.3L  6,6,5TDZA23C06S******,JUNKED VEHICLE BILL OF SALE,0 E,EXEMPT,FRONT END,0 USD,0 USD,3221,WI - MILWAUKEE SOUTH
https://www.copart.com/lotDetail/55733993,55733993,"4,281 USD",10/23/2023 01:00 pm EDT,2007,TOYT,PRIUS,1.5L  4,4,JTDKB20U877******,JUNKED VEHICLE BILL OF SALE,0 E,EXEMPT,FRONT END,0 USD,0 USD,2227,WI - MILWAUKEE SOUTH
https://www.copart.com/lotDetail/61161243,61161243,"12,543 USD",10/23/2023 01:00 pm EDT,2013,TOYT,CAMRY HYBR,2.5L  4,4,4T1BD1FK8DU******,JUNKED VEHICLE BILL OF SALE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,3262,WI - MILWAUKEE SOUTH
